airbnb_listing_id,number_of_bedrooms,number_of_bathrooms,number_of_guests,listing_type,owner_id,suburb_norm,perfil,noites,receita_bruta,adr,adr_mediana,data_min,data_max,receita_anual_potencial,receita_anual_60,is_superhost
21780661,2,1.0,4,apartamento,158703707,Casa Branca,2q,63,30130.0,478.25396825396825,600.0,2025-01-28,2025-04-06,174562.6984126984,104737.61904761904,False
772706520794806760,1,1.0,4,casa,489908528,Varzea,Studio/1q,9,4050.0,450.0,450.0,2025-01-23,2025-01-31,164250.0,98550.0,True
48699117,2,2.0,6,apartamento,389604695,Meia Praia,2q,48,53382.5,452.39406779661016,380.0,2025-01-12,2025-04-15,165123.8347457627,99074.30084745762,True
732572931172602640,1,2.0,4,apartamento,166345971,Alto Sao Bento,Studio/1q,63,18360.0,291.42857142857144,280.0,2025-02-07,2025-04-20,106371.42857142858,63822.857142857145,False
1188323084225041810,1,1.0,4,apartamento,227777128,Centro,Studio/1q,73,111345.8333,601.8693691891892,599.5,2025-01-10,2025-04-20,219682.31975405407,131809.39185243243,False
41634696,3,2.0,8,casa,323789095,Sertaozinho,3q+,84,42224.0,502.6666666666667,500.0,2025-01-07,2025-04-06,183473.33333333334,110084.0,False
869504505210568410,2,2.0,5,apartamento,66665025,Centro,2q,80,93000.0,1162.5,1250.0,2025-01-23,2025-04-20,424312.5,254587.5,False
42788291,3,2.0,7,apartamento,271799023,Meia Praia,3q+,54,34160.0,632.5925925925926,700.0,2025-01-28,2025-04-02,230896.2962962963,138537.77777777778,True
1085437829031467755,2,2.0,6,apartamento,510683745,Centro,2q,45,53157.50836,690.3572514285714,600.0,2025-02-25,2025-04-20,251980.39677142858,151188.23806285716,False
821920276390293366,3,4.0,8,apartamento,499850744,Meia Praia,3q+,48,83976.5,671.812,650.0,2025-01-09,2025-04-11,245211.38,147126.828,True
42335961,3,2.0,8,apartamento,176986182,Meia Praia,3q+,85,124926.0,612.3823529411765,500.0,2025-01-08,2025-04-17,223519.5588235294,134111.73529411762,False
46866680,3,3.0,6,apartamento,69152415,Meia Praia,3q+,67,83762.0,504.5903614457831,450.0,2025-01-12,2025-04-20,184175.48192771085,110505.2891566265,False
1311575286815584867,2,2.0,6,apartamento,567717951,Tabuleiro Dos Oliveiras,2q,82,64858.7501,790.9603670731707,753.0,2025-01-26,2025-04-20,288700.5339817073,173220.32038902436,True
31530689,3,2.0,6,apartamento,95436178,Meia Praia,3q+,90,150719.5,707.6032863849765,700.0,2025-01-17,2025-04-20,258275.19953051643,154965.11971830984,True
1161927707286622818,1,1.0,2,apartamento,76169718,Centro,Studio/1q,38,20025.23093,235.59095211764708,246.0,2025-01-14,2025-04-17,85990.69752294118,51594.41851376471,True
1053132609735844516,3,2.0,10,apartamento,489316663,Meia Praia,3q+,11,31550.0,956.060606060606,1000.0,2025-02-27,2025-03-09,348962.1212121212,209377.27272727274,True
1193414131980072087,2,1.0,6,apartamento,227777128,Centro,2q,66,109882.3332,686.7645825,627.0,2025-01-11,2025-04-20,250669.0726125,150401.44356749998,False
30493854,3,2.0,6,apartamento,27896667,Meia Praia,3q+,41,56700.0,497.36842105263156,450.0,2025-02-19,2025-03-31,181539.47368421053,108923.68421052632,False
6569062,3,2.0,6,apartamento,29487482,Meia Praia,3q+,104,199013.1167,737.0856174074074,750.0,2025-01-06,2025-04-19,269036.2503537037,161421.7502122222,False
23068512,2,2.0,6,apartamento,171259138,Meia Praia,2q,19,12102.0,636.9473684210526,700.0,2025-01-13,2025-02-27,232485.7894736842,139491.47368421053,False
719355891470345652,2,2.0,6,apartamento,429150561,Meia Praia,2q,78,115031.5002,555.7077304347825,500.0,2025-01-28,2025-04-20,202833.32160869564,121699.99296521737,False
52472131,2,2.0,6,apartamento,229032494,Meia Praia,2q,87,61000.0,701.1494252873563,600.0,2025-01-10,2025-04-06,255919.54022988505,153551.724137931,False
46755580,1,1.0,2,casa,343852764,Casa Branca,Studio/1q,58,17400.0,300.0,300.0,2025-02-02,2025-03-31,109500.0,65700.0,False
679166677359467385,3,2.0,10,apartamento,108479878,Meia Praia,3q+,79,240289.9999,1144.2380947619047,937.0,2025-01-20,2025-04-20,417646.9045880952,250588.14275285712,False
15024197,3,2.0,8,apartamento,45666257,Centro,3q+,18,14400.0,800.0,800.0,2025-01-30,2025-02-16,292000.0,175200.0,False
41478160,2,2.0,6,apartamento,326499349,Meia Praia,2q,29,14167.0,488.51724137931035,400.0,2025-01-27,2025-03-05,178308.7931034483,106985.27586206897,False
1312949509621922876,2,2.0,4,apartamento,227777128,Morretes,2q,86,137840.5,647.1384976525821,627.0,2025-01-16,2025-04-20,236205.55164319248,141723.33098591547,False
42709234,3,3.0,8,apartamento,340165323,Centro,3q+,97,98108.3334,695.8037829787235,420.0,2025-01-14,2025-04-20,253968.38078723405,152381.02847234043,False
